Data;Usuario;Empresa;Unidade
15/08/2022;I900265;0;0
15/08/2022;I900265;2269651;A00002
15/08/2022;I900265;2269651;A02516
15/08/2022;I900265;2269651;A03657
15/08/2022;I900265;2269651;A06932
15/08/2022;I900265;2269651;A06933
15/08/2022;I900265;2269651;D04651
15/08/2022;I900265;2269651;D04657
15/08/2022;I900265;2269651;D04695
15/08/2022;I900265;2269651;D04696
15/08/2022;I900265;2269651;G04202
15/08/2022;I900265;2269651;G08596
15/08/2022;I900265;2269651;G08608
15/08/2022;I900265;2269651;G08757
15/08/2022;I900565;0;0
15/08/2022;I900565;2269651;A00002
15/08/2022;I900565;2269651;D04651
15/08/2022;I900565;2269651;G04202
15/08/2022;I900665;0;0
15/08/2022;I900665;2269651;A00002
15/08/2022;I900665;2269651;A03657
15/08/2022;I900665;2269651;D04651
15/08/2022;I900665;2269651;D04695
15/08/2022;I900665;2269651;G04202
15/08/2022;I900665;2269651;G08596
15/08/2022;I900765;0;0
15/08/2022;I900765;2269651;A00002
15/08/2022;I900765;2269651;D04651
15/08/2022;I900765;2269651;G04202
15/08/2022;I900965;0;0
15/08/2022;I900965;2269651;A00002
15/08/2022;I900965;2269651;A02516
15/08/2022;I900965;2269651;A03657
15/08/2022;I900965;2269651;D00000
15/08/2022;I900965;2269651;D04651
15/08/2022;I900965;2269651;D04657
15/08/2022;I900965;2269651;G02516
15/08/2022;I900965;2269651;G04202
15/08/2022;I900965;2269651;G08596
15/08/2022;I900965;2269651;G08757
15/08/2022;I918965;0;0
15/08/2022;I918965;2269651;A00002
15/08/2022;I918965;2269651;D04651
15/08/2022;I918965;2269651;G04202
15/08/2022;I921465;0;0
15/08/2022;I921465;2269651;A03994
15/08/2022;I921465;2269651;D04689
15/08/2022;I921465;2269651;G04308
15/08/2022;I922265;0;0
15/08/2022;I922265;2269651;A00002
15/08/2022;I922265;2269651;D04651
15/08/2022;I922265;2269651;G04202
15/08/2022;I922565;0;0
15/08/2022;I922565;2269651;A00002
15/08/2022;I922565;2269651;D04651
15/08/2022;I922565;2269651;G04202
15/08/2022;I935165;0;0
15/08/2022;I935165;2269651;A03644
15/08/2022;I935165;2269651;D04695
15/08/2022;I935165;2269651;G08595
16/08/2022;I900265;0;0
16/08/2022;I900265;2269651;A00002
16/08/2022;I900265;2269651;A03657
16/08/2022;I900265;2269651;A06932
16/08/2022;I900265;2269651;D04651
16/08/2022;I900265;2269651;D04694
16/08/2022;I900265;2269651;D04695
16/08/2022;I900265;2269651;D04696
16/08/2022;I900265;2269651;G04202
16/08/2022;I900265;2269651;G08596
16/08/2022;I900265;2269651;G08608
16/08/2022;I900565;0;0
16/08/2022;I900565;2269651;A00002
16/08/2022;I900565;2269651;A03657
16/08/2022;I900565;2269651;D04651
16/08/2022;I900565;2269651;D04695
16/08/2022;I900565;2269651;G04202
16/08/2022;I900565;2269651;G08596
16/08/2022;I900665;0;0
16/08/2022;I900665;2269651;A00002
16/08/2022;I900665;2269651;D04651
16/08/2022;I900665;2269651;G04202
16/08/2022;I900965;0;0
16/08/2022;I900965;2269651;A00001
16/08/2022;I900965;2269651;A00002
16/08/2022;I900965;2269651;A00004
16/08/2022;I900965;2269651;A00005
16/08/2022;I900965;2269651;A00289
16/08/2022;I900965;2269651;A00701
16/08/2022;I900965;2269651;A01432
16/08/2022;I900965;2269651;A03657
16/08/2022;I900965;2269651;D00000
16/08/2022;I900965;2269651;D04641
16/08/2022;I900965;2269651;D04651
16/08/2022;I900965;2269651;D04686
16/08/2022;I900965;2269651;D08517
16/08/2022;I900965;2269651;D08523
16/08/2022;I900965;2269651;G04034
16/08/2022;I900965;2269651;G04035
16/08/2022;I900965;2269651;G04202
16/08/2022;I900965;2269651;G04203
16/08/2022;I900965;2269651;G04286
16/08/2022;I900965;2269651;G04330
16/08/2022;I900965;2269651;G04363
16/08/2022;I900965;2269651;G04565
16/08/2022;I900965;2269651;G04599
16/08/2022;I900965;2269651;G08596
16/08/2022;I918665;0;0
16/08/2022;I918865;0;0
16/08/2022;I918965;0;0
16/08/2022;I918965;2269651;A00002
16/08/2022;I918965;2269651;D04651
16/08/2022;I918965;2269651;G04202
16/08/2022;I919165;0;0
16/08/2022;I919365;0;0
16/08/2022;I919365;2269651;A00002
16/08/2022;I919365;2269651;D04651
