DATA;USUARIO;CPSSOA_JURID;CUND_ORGNZ
01/11/2022;B427451;0;0
01/11/2022;D277430;0;0
01/11/2022;D914023;0;0
01/11/2022;E065933;0;0
01/11/2022;E306558;0;0
01/11/2022;E402875;0;0
01/11/2022;E449227;0;0
01/11/2022;E449227;2269651;00002
01/11/2022;E449227;2269651;02856
01/11/2022;E449227;2269651;04202
01/11/2022;E449227;2269651;04343
01/11/2022;E495059;0;0
01/11/2022;E549566;0;0
01/11/2022;E770203;0;0
01/11/2022;E786266;0;0
01/11/2022;F071597;0;0
01/11/2022;F138780;0;0
01/11/2022;F196381;0;0
01/11/2022;F252249;0;0
01/11/2022;F252761;0;0
01/11/2022;F282946;0;0
01/11/2022;F286364;0;0
01/11/2022;F309771;0;0
01/11/2022;F365906;0;0
01/11/2022;F521401;0;0
01/11/2022;F531202;0;0
01/11/2022;F550770;0;0
01/11/2022;F560016;0;0
01/11/2022;F563287;0;0
01/11/2022;F597963;0;0
01/11/2022;F602967;0;0
01/11/2022;F620515;0;0
01/11/2022;F632386;0;0
01/11/2022;F645356;0;0
01/11/2022;F666337;0;0
01/11/2022;F724418;0;0
01/11/2022;F751890;0;0
01/11/2022;F755615;0;0
01/11/2022;F791115;0;0
01/11/2022;F800882;0;0
01/11/2022;F802290;0;0
01/11/2022;F802354;0;0
01/11/2022;F813240;0;0
01/11/2022;F847838;0;0
01/11/2022;F850057;0;0
01/11/2022;F852491;0;0
01/11/2022;F905030;0;0
01/11/2022;F923364;0;0
01/11/2022;F941192;0;0
01/11/2022;F951716;0;0
01/11/2022;F962181;0;0
01/11/2022;F985670;0;0
01/11/2022;F996655;0;0
01/11/2022;G499213;0;0
01/11/2022;G499213;2269651;00002
01/11/2022;G499213;2269651;02856
01/11/2022;G499213;2269651;06932
01/11/2022;G499213;2269651;06934
01/11/2022;G499213;2269651;06935
01/11/2022;G499213;2269651;04202
01/11/2022;G499213;2269651;04264
01/11/2022;G499213;2269651;04343
01/11/2022;G499213;2269651;08296
01/11/2022;G499213;2269651;08606
01/11/2022;H909121;0;0
01/11/2022;H914249;0;0
01/11/2022;H932697;0;0
01/11/2022;H978670;0;0
01/11/2022;H997004;0;0
01/11/2022;I006338;0;0
01/11/2022;I035982;0;0
01/11/2022;I059938;0;0
01/11/2022;I060197;0;0
