"Country","Year","Continent","Least.Developed","Life.Expectancy","Population","CO2.emissions","Health.expenditure","Electric.power.consumption","Forest.area","GDP.per.capita","Individuals.using.the.Internet","Military.expenditure","People.practicing.open.defecation","People.using.at.least.basic.drinking.water.services","Obesity.among.adults","Beer.consumption.per.capita","ZPopulation","ZCO2.emissions","ZHealth.expenditure","ZElectric.power.consumption","ZForest.area","ZGDP.per.capita","ZIndividuals.using.the.Internet","ZMilitary.expenditure","ZPeople.practicing.open.defecation","ZPeople.using.at.least.basic.drinking.water.services","ZObesity.among.adults","ZBeer.consumption.per.capita","cluster0","cluster1","cluster2","cluster3","cluster4"
"Albania",2015,"Europe",FALSE,78.025,2880703,1.60377515,4.89631176,2309.366503,28.8024635,11658.90552,56.9,1.162303864,0.109372147,93.39432534,21.7,1.48,-0.296019375568582,-0.63255917372371,-0.666032024685897,-0.373289567605365,-0.0695493300621337,-0.515119638745273,0.202704555206405,-0.334986073469686,-0.494693084368988,0.251363841842566,0.239825662254808,-0.4268168848313,"1","1","1","1","1"
"Algeria",2015,"Africa",FALSE,76.09,39728020,3.933495912,6.9784894,1362.871884,0.821247986,12015.64053,38.2,6.270242856,1.155577807,93.40956153,25.7,0.31,-0.0882623594801429,-0.205210155159979,0.159412127874107,-0.590270011719356,-1.43009270971412,-0.496911999075116,-0.478548434063307,1.09824364213976,-0.418316384784421,0.25238675018802,0.691396133905475,-1.07457920088822,"1","1","1","1","1"
"Angola",2015,"Africa",TRUE,59.398,27884380,1.13504405,2.60579491,312.2288945,55.65307612,7337.569901,22,3.105426293,22.53427135,54.31692835,6.5,3.25,-0.155040608382924,-0.718540197210548,-1.5740687377171,-0.831126090444681,1.23602023039756,-0.735679212767921,-1.06872482048948,0.210232029305572,1.14240357370275,-2.37216576100819,-1.47614213001773,0.553131234331734,"1","2","2","1","2"
"Argentina",2015,"South America",FALSE,76.068,43131966,4.301913876,10.22933865,3074.702071,10.63218706,20105.19899,68.04306411,0.850128583,1.549,98.96658815,28,3.39,-0.0690698178932975,-0.137629929278536,1.44815639863987,-0.197839176121552,-0.953050952946222,-0.0840235485405102,0.608653524969054,-0.422578914713223,-0.389595178435124,0.625467481361862,0.951049155104609,0.630641255056493,"1","3","1","1","3"
"Armenia",2015,"Asia",FALSE,74.467,2925559,1.825292244,10.11763382,1961.610395,11.57428872,9969.664854,59.10083377,4.239225786,0.011358461,99.5525667,20.2,0.49,-0.295766463023724,-0.591925500255168,1.40387290574048,-0.453011388778437,-0.907242715064961,-0.601337936642929,0.282882340484385,0.528363300539541,-0.501848428807479,0.664808179335014,0.0704867353858079,-0.974923459956387,"1","1","1","1","3"
"Australia",2015,"Oceania",FALSE,82.4,23815995,15.863288,9.32758904,10071.39898,17.3248246,46248.61646,84.56051491,1.951027863,0,99.97000567,29.8,3.76,-0.177979470604533,1.98311431000017,1.09067299840137,1.40612810712595,-0.627631791191027,1.25032803371725,1.21039484756881,-0.113679069891223,-0.50267763648309,0.692833676925316,1.15425586734741,0.835489166971929,"1","3","1","1","4"
"Austria",2015,"Europe",FALSE,81.1902439,8642699,7.317158873,10.36746693,8355.841952,47.03332525,49865.90394,83.94014193,0.698138152,0,100,21.5,6.1,-0.263531390197123,0.415467253531885,1.5029150219383,1.01284290680267,0.816898159929958,1.43495321816216,1.18779426216308,-0.465225704844949,-0.50267763648309,0.694847398890799,0.217247138672275,2.13101379908577,"1","3","1","1","4"
"Bahrain",2015,"Asia",FALSE,76.762,1371853,22.29101801,4.9869976,19596.9831,0.771208226,45575.78357,93.4783008,4.632877365,0,100,28.1,0.39,-0.304526756817671,3.16217583366879,-0.630081155312431,3.58983357286486,-1.43252581574389,1.21598686036465,1.53527550506773,0.638817466398415,-0.50267763648309,0.694847398890799,0.962338416895876,-1.03028776047407,"2","4","3","1","5"
"Bangladesh",2015,"Asia",TRUE,71.514,156256287,0.461997426,2.63947296,320.2099233,14.46877161,3555.50526,12.9,1.350969947,2.695839017,97.10160247,3.1,0,0.568761462413779,-0.841999548608144,-1.56071764369511,-0.829296468660523,-0.766502955867042,-0.928714570280402,-1.40024365483998,-0.282048511586755,-0.305871889198408,0.500258395873777,-1.85997703092079,-1.24620853249305,"1","2","2","1","2"
"Belarus",2015,"Europe",FALSE,73.62439024,9461076,5.79426692,6.06533337,3690.103683,42.53416626,18095.66518,62.23036091,1.257482359,0,96.47706709,26.1,2,-0.258917117642206,0.136117731431025,-0.202593154892452,-0.0567605979661848,0.598133504235015,-0.186589505039921,0.396893020651534,-0.308280067870435,-0.50267763648309,0.458329117475911,0.736553181070542,-0.138922522139335,"1","1","1","1","1"
